DAY_OF_WEEK,MKT_UNIQUE_CARRIER,OP_UNIQUE_CARRIER,OP_CARRIER_FL_NUM,ORIGIN,DEST,ARR_TIME,ARR_DELAY,CANCELLED,DIVERTED,DUP,DISTANCE,WEATHER_DELAY,NAS_DELAY,LATE_AIRCRAFT_DELAY,DIV_AIRPORT_LANDINGS,CRS_ELAPSED_TIME,SCH_DEP_TIME,SCH_ARR_TIME,ORGIN_WTH_JOIN,DEST_WTH_JOIN,ORGIN_WTH_name,ORGIN_WTH_datetime,ORGIN_WTH_temp,ORGIN_WTH_feelslike,ORGIN_WTH_dew,ORGIN_WTH_humidity,ORGIN_WTH_precip,ORGIN_WTH_precipprob,ORGIN_WTH_preciptype,ORGIN_WTH_snow,ORGIN_WTH_snowdepth,ORGIN_WTH_windgust,ORGIN_WTH_windspeed,ORGIN_WTH_winddir,ORGIN_WTH_sealevelpressure,ORGIN_WTH_cloudcover,ORGIN_WTH_visibility,ORGIN_WTH_solarradiation,ORGIN_WTH_solarenergy,ORGIN_WTH_uvindex,ORGIN_WTH_severerisk,ORGIN_WTH_conditions,ORGIN_WTH_icon,ORGIN_WTH_stations,DEST_WTH_name,DEST_WTH_datetime,DEST_WTH_temp,DEST_WTH_feelslike,DEST_WTH_dew,DEST_WTH_humidity,DEST_WTH_precip,DEST_WTH_precipprob,DEST_WTH_preciptype,DEST_WTH_snow,DEST_WTH_snowdepth,DEST_WTH_windgust,DEST_WTH_windspeed,DEST_WTH_winddir,DEST_WTH_sealevelpressure,DEST_WTH_cloudcover,DEST_WTH_visibility,DEST_WTH_solarradiation,DEST_WTH_solarenergy,DEST_WTH_uvindex,DEST_WTH_severerisk,DEST_WTH_conditions,DEST_WTH_icon,DEST_WTH_stations
1,AA,PT,6235,ORD,SYR,2330.0,192.0,0,0,N,607,30.0,25.0,137.0,0,,2022-01-17 17:30:00,2022-01-17 20:18:00,2022-01-17 18:00:00ORD,2022-01-17 20:00:00SYR,ORD,2022-01-17 18:00:00,28.8,20.6,18.0,63.41,0.0,0,,0.0,0.4,17.7,8.5,292.0,1013.6,97.5,9.9,0,0.0,0,10.0,Overcast,cloudy,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK",SYR,2022-01-17 20:00:00,26.9,16.0,21.8,80.79,0.015,100,snow,0.07,2.55,24.2,12.8,281.0,993.2,100.0,2.4,0,0.0,0,10.0,"Snow, Overcast",snow,"KSYR,72519014771,72514654773,KFZY,KRME"
1,UA,OO,5412,ORD,SYR,2047.0,-5.0,0,0,N,607,,,,0,,2022-01-17 17:55:00,2022-01-17 20:52:00,2022-01-17 18:00:00ORD,2022-01-17 21:00:00SYR,ORD,2022-01-17 18:00:00,28.8,20.6,18.0,63.41,0.0,0,,0.0,0.4,17.7,8.5,292.0,1013.6,97.5,9.9,0,0.0,0,10.0,Overcast,cloudy,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK",SYR,2022-01-17 21:00:00,26.8,13.8,21.8,81.03,0.014,100,snow,0.07,2.61,26.7,18.3,300.0,994.9,100.0,1.3,0,0.0,0,10.0,"Snow, Overcast",snow,"KSYR,72519014771,72514654773,KFZY,72519664775,KRME"
1,B6,B6,116,JFK,SYR,,,1,0,N,209,,,,0,,2022-01-17 09:25:00,2022-01-17 10:43:00,2022-01-17 09:00:00JFK,2022-01-17 11:00:00SYR,JFK,2022-01-17 09:00:00,41.3,36.1,34.6,76.79,0.004,100,rain,0.0,0.2,24.7,8.0,210.0,985.9,97.0,6.3,22,0.1,0,10.0,"Rain, Overcast",rain,"72505394728,KLGA,F1417,KNYC,72503014732",SYR,2022-01-17 11:00:00,33.6,33.6,25.9,73.02,0.0,0,"rain,snow",0.07,1.92,13.6,0.5,3.0,983.1,100.0,9.5,80,0.3,1,10.0,Overcast,cloudy,"KSYR,72519014771,72514654773,AS511,KFZY,72519664775,KRME"
1,B6,B6,2516,JFK,SYR,106.0,112.0,0,0,N,209,0.0,0.0,0.0,0,,2022-01-17 21:59:00,2022-01-17 23:14:00,2022-01-17 22:00:00JFK,2022-01-17 23:00:00SYR,JFK,2022-01-17 22:00:00,35.6,26.2,20.9,54.75,0.0,0,,0.0,0.12,26.6,15.1,287.0,993.5,97.0,9.9,0,0.0,0,10.0,Overcast,cloudy,"72505394728,KLGA,KNYC,72503014732",SYR,2022-01-17 23:00:00,25.0,11.7,18.9,77.38,0.011,100,snow,0.07,2.75,32.2,17.4,281.0,998.3,100.0,5.0,0,0.0,0,10.0,"Snow, Overcast",snow,"KSYR,72519014771,72514654773,KFZY,72519664775,KRME"
1,B6,B6,656,MCO,SYR,2021.0,81.0,0,0,N,1053,0.0,11.0,0.0,0,,2022-01-17 16:17:00,2022-01-17 19:00:00,2022-01-17 16:00:00MCO,2022-01-17 19:00:00SYR,MCO,2022-01-17 16:00:00,62.0,62.0,39.8,43.92,0.0,0,,0.0,0.0,28.0,17.3,262.0,1014.6,2.9,9.9,412,1.5,4,10.0,Clear,clear-day,"72205312841,72205712854,D4166,72205012815,KISM,KORL,KMCO",SYR,2022-01-17 19:00:00,26.9,15.5,21.8,80.93,0.015,100,snow,0.07,2.48,32.9,13.9,281.0,991.8,100.0,1.8,0,0.0,0,10.0,"Snow, Overcast",snow,"KSYR,72519014771,72514654773,KFZY,72519664775"
1,DL,9E,5446,JFK,SYR,1346.0,1.0,0,0,N,209,,,,0,,2022-01-17 12:30:00,2022-01-17 13:45:00,2022-01-17 12:00:00JFK,2022-01-17 14:00:00SYR,JFK,2022-01-17 12:00:00,38.3,30.8,30.3,72.92,0.0,0,snow,0.0,0.2,22.6,11.8,217.0,985.0,100.0,9.9,30,0.1,0,10.0,Overcast,cloudy,"72505394728,KLGA,F1417,KNYC,72503014732",SYR,2022-01-17 14:00:00,26.9,15.7,21.9,81.01,0.019,100,snow,0.07,2.13,23.3,13.6,263.0,982.9,100.0,1.8,190,0.7,2,10.0,"Snow, Overcast",snow,"KSYR,72519014771,72514654773,AS511,KFZY,72519664775,KRME"
1,UA,OO,5392,ORD,SYR,1349.0,12.0,0,0,N,607,,,,0,,2022-01-17 10:45:00,2022-01-17 13:37:00,2022-01-17 11:00:00ORD,2022-01-17 14:00:00SYR,ORD,2022-01-17 11:00:00,28.5,17.3,18.1,64.77,0.0,0,,0.0,0.4,23.4,14.4,317.0,1011.9,100.0,9.9,68,0.2,1,10.0,Overcast,cloudy,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK",SYR,2022-01-17 14:00:00,26.9,15.7,21.9,81.01,0.019,100,snow,0.07,2.13,23.3,13.6,263.0,982.9,100.0,1.8,190,0.7,2,10.0,"Snow, Overcast",snow,"KSYR,72519014771,72514654773,AS511,KFZY,72519664775,KRME"
1,UA,G7,4576,ORD,SYR,1724.0,3.0,0,0,N,607,,,,0,,2022-01-17 14:30:00,2022-01-17 17:21:00,2022-01-17 14:00:00ORD,2022-01-17 17:00:00SYR,ORD,2022-01-17 14:00:00,29.0,19.5,18.0,62.85,0.0,0,,0.0,0.4,16.8,11.1,308.0,1011.3,100.0,9.9,72,0.3,1,10.0,Overcast,cloudy,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK",SYR,2022-01-17 17:00:00,28.0,17.5,23.0,81.07,0.005,100,snow,0.07,2.34,26.4,12.7,271.0,988.9,100.0,0.6,9,0.0,0,10.0,"Snow, Overcast",snow,"KSYR,72519014771,72514654773,AS511,KFZY,72519664775"
1,AA,OO,3253,ORD,SYR,1709.0,98.0,0,0,N,607,0.0,0.0,98.0,0,,2022-01-24 12:40:00,2022-01-24 15:31:00,2022-01-24 13:00:00ORD,2022-01-24 16:00:00SYR,ORD,2022-01-24 13:00:00,27.2,16.9,17.5,66.57,0.0,0,snow,0.01,2.41,13.6,11.6,322.0,1005.0,100.0,9.9,36,0.1,0,10.0,Overcast,cloudy,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK",SYR,2022-01-24 16:00:00,21.7,11.7,5.0,47.83,0.0,0,snow,0.02,3.31,13.2,8.9,177.0,1009.6,100.0,9.9,57,0.2,1,10.0,Overcast,cloudy,"KSYR,72519014771,72514654773,AS511,KFZY,72519664775,KRME"
1,AA,PT,6235,ORD,SYR,2108.0,50.0,0,0,N,607,0.0,50.0,0.0,0,,2022-01-24 17:30:00,2022-01-24 20:18:00,2022-01-24 18:00:00ORD,2022-01-24 20:00:00SYR,ORD,2022-01-24 18:00:00,17.9,4.2,7.4,63.04,0.0,0,snow,0.01,2.44,21.5,13.6,320.0,1012.2,44.0,9.9,0,0.0,0,10.0,Partially cloudy,partly-cloudy-night,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK",SYR,2022-01-24 20:00:00,19.9,10.2,15.1,81.27,0.011,100,snow,0.02,3.37,9.4,7.9,90.0,1008.9,100.0,1.8,0,0.0,0,10.0,"Snow, Overcast",snow,"KSYR,72519014771,72514654773,KFZY,72519664775,KRME"
